College name,College url,Course name,Course url,Course ID,Highest rank to receive an offer - ATAR,Median rank to receive an offer - ATAR,Lowest rank to receive an offer - ATAR,Highest rank to receive an offer - Selection Rank,Median rank to receive an offer - Selection Rank,Lowest rank to receive an offer - Selection Rank,Campus name,Campus latitude,Campus longitude,Intake year,Total students,Campus ID,Campus Code,Institution Code
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology (Health Information Management),https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-health-information-management-UAC724025,UAC724025,<5,<5,<5,<5,<5,<5,Campbelltown,-34.06921400,150.78859100,2023,,3004-CA,CA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology (Health Information Management),https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-health-information-management-UAC724026,UAC724026,<5,<5,<5,<5,<5,<5,Parramatta,-33.80743900,151.02277100,2023,,3004-PA,PA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology/Bachelor of Arts,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-bachelor-of-arts-UAC724100,UAC724100,<5,<5,<5,<5,<5,<5,Parramatta,-33.80743900,151.02277100,2023,<5,3004-PA,PA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology (Health Information Management),https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-health-information-management-UAC724027,UAC724027,<5,<5,<5,<5,<5,<5,Penrith,-33.76897300,150.73470900,2023,,3004-PE,PE,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-UAC724022,UAC724022,96.05,65.82,55.15,99.95,71.1,65.15,Sydney City,-33.87570100,151.20920800,2023,192,3004-SS,SS,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology/Bachelor of Business,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-bachelor-of-business-UAC724110,UAC724110,96.5,71.75,61.7,99.95,81.75,70.75,Campbelltown,-34.06921400,150.78859100,2023,,3004-CA,CA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology/Bachelor of Business,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-bachelor-of-business-UAC724105,UAC724105,96.5,71.75,61.7,99.95,81.75,70.75,Bankstown,-33.94053800,150.99150800,2023,,3004-BA,BA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology/Bachelor of Laws,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-bachelor-of-laws-UAC725041,UAC725041,,,,,,,Campbelltown,-34.06921400,150.78859100,2023,0,3004-CA,CA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology/Bachelor of Business,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-bachelor-of-business-UAC724115,UAC724115,96.5,71.75,61.7,99.95,81.75,70.75,Parramatta,-33.80743900,151.02277100,2023,,3004-PA,PA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology/Bachelor of Laws,https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-bachelor-of-laws-UAC725043,UAC725043,<5,<5,<5,<5,<5,<5,Parramatta,-33.80743900,151.02277100,2022,<5,3004-PA,PA,3004
Curtin University,https://www.courseseeker.edu.au/institutions/curtin-university,Bachelor of Innovation (Portfolio Entry),https://www.courseseeker.edu.au/courses/bachelor-of-innovation-portfolio-entry-TISCCOINC,TISCCOINC,,,,,,,Bentley,-32.00171700,115.88749400,2021,32,2236-CU,CU,2236
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology/Bachelor of Business (Accounting),https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-bachelor-of-business-accounting-UAC724130,UAC724130,<5,<5,<5,<5,<5,<5,Parramatta,-33.80743900,151.02277100,2023,<5,3004-PA,PA,3004
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of Information and Communications Technology/Bachelor of Business (Accounting),https://www.courseseeker.edu.au/courses/bachelor-of-information-and-communications-technology-bachelor-of-business-accounting-UAC724120,UAC724120,<5,<5,<5,<5,<5,<5,Campbelltown,-34.06921400,150.78859100,2023,<5,3004-CA,CA,3004
Wentworth Institute,https://www.courseseeker.edu.au/institutions/wentworth-institute,Bachelor of Interactive Media,https://www.courseseeker.edu.au/courses/bachelor-of-interactive-media-UACW10010,UACW10010,,,,,,,Surry Hills,-33.88371500,151.20842800,2022,74,4434-WIS,WIS,4434
The University of Adelaide,https://www.courseseeker.edu.au/institutions/the-university-of-adelaide,Bachelor of Innovation and Entrepreneurship,https://www.courseseeker.edu.au/courses/bachelor-of-innovation-and-entrepreneurship-SATAC324641,SATAC324641,96.80,84.20,62.30,98.10,86.80,72.25,All Adelaide Campus,-34.94217000,138.59082000,,,3010-01,01,3010
Tabor,https://www.courseseeker.edu.au/institutions/tabor,Bachelor of Intercultural Studies,https://www.courseseeker.edu.au/courses/bachelor-of-intercultural-studies-SATAC5A0409,SATAC5A0409,< 5,< 5,< 5,< 5,< 5,< 5,Tabor Millswood,-34.95620000,138.59081000,,,4334-02,02,4334
University of South Australia,https://www.courseseeker.edu.au/institutions/university-of-south-australia,Bachelor of Interior Architecture,https://www.courseseeker.edu.au/courses/bachelor-of-interior-architecture-SATAC424081,SATAC424081,97.95,82.30,59.00,98.95,84.75,66.10,City West Campus,-34.92214600,138.59038300,,,3027-03,03,3027
University of New South Wales,https://www.courseseeker.edu.au/institutions/university-of-new-south-wales,Bachelor of Interior Architecture (Honours),https://www.courseseeker.edu.au/courses/bachelor-of-interior-architecture-honours-UAC423400,UAC423400,94.65,79.73,70.35,99.65,85,73,Sydney - Kensington,-33.91734600,151.23126100,2023,71,3013-UN,UN,3013
Curtin University,https://www.courseseeker.edu.au/institutions/curtin-university,Bachelor of Innovation,https://www.courseseeker.edu.au/courses/bachelor-of-innovation-TISCCUINC,TISCCUINC,79.70,75.80,67.40,82.90,79.70,67.40,Bentley,-32.00171700,115.88749400,2021,32,2236-CU,CU,2236
TAFE NSW,https://www.courseseeker.edu.au/institutions/tafe-nsw,Bachelor of Interior Design,https://www.courseseeker.edu.au/courses/bachelor-of-interior-design-UACHE20501,UACHE20501,,,,,,,"Design Centre, Enmore",-33.90247800,151.17123490,2020,35,7075-EN,EN,7075
